Timestamp;Age_;Age;Gender_;Gender;Country;state;self_employed;family_history;treatment;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence;comments
28/08/2014 10:20;18|-28;21;M;male;Germany;NA;No;No;No;Rarely;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Very easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;No;No;NA
28/08/2014 11:34;18|-28;21;M;Male;United States;IL;No;No;Yes;Often;More than 1000;No;No;No;Yes;No;No;No;Don't know;Yes;No;Some of them;Some of them;No;Yes;No;Yes;I have Narcolepsy and have been fired from a job before for falling asleep standing up during a meeting. I was standing up in the back of the room so that i could pace and try to prevent myself from falling asleep. I still managed to fall asleep while standing and fell over against the wall. I was fired the next day. The worst part is this is a condition i had given months of notice about to my boss and i reminded her of it before the meeting. I worked at a hospital at the time. I would have thought that they would be more accommodating.
28/08/2014 16:58;18|-28;21;M;Male;United Kingdom;NA;No;Yes;No;Never;6-25;No;No;No;No;No;No;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;No;Maybe;Don't know;No;NA
01/09/2014 08:23;18|-28;21;M;Male;United Kingdom;NA;No;No;Yes;Sometimes;More than 1000;No;No;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;No;No;No;Don't know;No;NA
27/08/2014 11:44;18|-28;22;M;M;United States;TX;No;Yes;Yes;Often;6-25;No;Yes;No;Yes;No;No;Yes;Very difficult;Maybe;No;No;No;No;Maybe;Don't know;No;NA
27/08/2014 12:29;18|-28;22;M;Male;United States;NY;No;No;Yes;Sometimes;500-1000;No;Yes;Yes;Yes;No;Don't know;Yes;Don't know;Yes;No;No;No;No;Yes;No;No;NA
27/08/2014 12:37;18|-28;22;M;m;Austria;NA;No;No;No;NA;6-25;Yes;Yes;Don't know;No;Don't know;No;Don't know;Somewhat easy;No;No;Some of them;Some of them;No;No;Don't know;No;NA
27/08/2014 12:49;18|-28;22;M;M;India;NA;No;No;Yes;Never;More than 1000;No;Yes;Don't know;Not sure;No;No;Don't know;Very difficult;Yes;Maybe;No;No;Maybe;Maybe;No;No;NA
27/08/2014 13:31;18|-28;22;M;Male;Sweden;NA;No;No;No;NA;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;No;No;NA
27/08/2014 14:03;18|-28;22;M;Male;Australia;NA;Yes;Yes;Yes;Sometimes;6-25;Yes;Yes;Don't know;Not sure;Yes;Yes;Don't know;Somewhat easy;Maybe;No;Some of them;Yes;No;Yes;No;Yes;NA
27/08/2014 14:27;18|-28;22;F;Female;United States;NY;No;Yes;Yes;Often;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Somewhat easy;Maybe;No;No;Some of them;No;No;Yes;Yes;NA
27/08/2014 14:47;18|-28;22;M;Male;United States;CA;No;No;No;Sometimes;More than 1000;No;Yes;Don't know;No;Don't know;Don't know;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;Don't know;No;NA
27/08/2014 15:15;18|-28;22;F;F;United States;WA;No;No;No;NA;More than 1000;No;Yes;Yes;No;Yes;Yes;Yes;Somewhat easy;No;No;No;Some of them;No;No;Yes;No;NA
27/08/2014 15:28;18|-28;22;M;Male;Brazil;NA;Yes;No;No;Never;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Somewhat easy;No;No;Yes;Yes;Maybe;No;Don't know;No;NA
27/08/2014 16:42;18|-28;22;M;Male;United States;CA;No;No;No;NA;More than 1000;No;Yes;Yes;Not sure;Yes;Don't know;Yes;Don't know;No;No;Some of them;Yes;No;Maybe;Yes;No;NA
27/08/2014 17:56;18|-28;22;F;Female;United States;CA;No;Yes;Yes;Sometimes;500-1000;No;Yes;Yes;Yes;No;Don't know;Don't know;Don't know;No;No;Some of them;Some of them;No;No;No;Yes;NA
27/08/2014 19:13;18|-28;22;M;Male;Netherlands;NA;No;Yes;Yes;Sometimes;6-25;Yes;Yes;No;Not sure;No;Don't know;Don't know;Somewhat easy;No;No;Some of them;Yes;Maybe;Yes;Yes;No;NA
28/08/2014 01:04;18|-28;22;M;Male;United Kingdom;NA;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Yes;No;No;Yes;Very easy;No;No;Some of them;Yes;Maybe;Yes;Yes;No;NA
28/08/2014 01:19;18|-28;22;M;M;Netherlands;NA;Yes;No;No;Never;1-5;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;No;Maybe;Some of them;Yes;Maybe;Yes;No;Yes;NA
28/08/2014 04:02;18|-28;22;F;Female;Netherlands;NA;No;No;No;Often;6-25;No;Yes;No;No;No;No;Don't know;Don't know;No;No;No;Some of them;No;Yes;Don't know;No;NA
28/08/2014 06:11;18|-28;22;M;male;India;NA;Yes;No;No;NA;1-5;Yes;Yes;Don't know;No;Don't know;Don't know;Don't know;Very easy;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Yes;Yes;NA
28/08/2014 08:23;18|-28;22;M;Male;India;NA;No;No;No;NA;26-100;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;Yes;Maybe;Maybe;Don't know;No;NA
28/08/2014 13:11;18|-28;22;F;Female;United States;WA;No;Yes;Yes;Sometimes;More than 1000;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Very difficult;Yes;Maybe;Some of them;Some of them;No;Maybe;No;Yes;NA
28/08/2014 19:28;18|-28;22;F;F;United States;CA;No;Yes;Yes;Often;More than 1000;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;Yes;Yes;No;No;No;No;Don't know;No;NA
06/05/2015 10:14;18|-28;22;M;Male;Australia;NA;No;Yes;Yes;Often;100-500;No;No;Yes;Yes;Yes;Yes;Yes;Don't know;Maybe;Maybe;No;Yes;No;Maybe;Don't know;Yes;In australia all organisations of a certain size have to provide free access to a 'employee assistance program' to discuss work and personal issues.EAPs are an external provider totally confidential and anonymous (ring up andsay the name of who you work for - so they know to bill your work)  and they offer phone and face to face consults.
27/08/2014 11:32;18|-28;23;M;Male;Canada;NA;NA;No;No;Never;26-100;No;Yes;Don't know;No;Don't know;Don't know;Don't know;Don't know;No;No;Yes;Yes;Maybe;Maybe;Yes;No;NA
27/08/2014 11:34;18|-28;23;M;Male;United Kingdom;NA;NA;No;Yes;Sometimes;26-100;Yes;Yes;Don't know;No;Don't know;Don't know;Don't know;Very easy;Maybe;No;Some of them;No;Maybe;Maybe;No;No;My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.
27/08/2014 11:51;18|-28;23;F;Female;Australia;NA;No;Yes;Yes;Often;1-5;Yes;Yes;No;Not sure;No;No;Don't know;Very easy;No;No;Some of them;Yes;No;Maybe;Yes;No;Thanks for doing this research.
27/08/2014 11:54;18|-28;23;F;Trans-female;United States;MA;No;No;No;Rarely;More than 1000;No;Yes;Yes;Yes;No;No;Yes;Somewhat difficult;Maybe;No;Yes;Yes;No;No;No;No;NA
27/08/2014 12:02;18|-28;23;M;Male;United Kingdom;NA;No;No;No;Never;26-100;No;Yes;Yes;Not sure;Yes;Don't know;Don't know;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No;NA
27/08/2014 12:39;18|-28;23;M;Male;United States;WV;No;No;No;Sometimes;6-25;No;No;No;No;No;No;No;Somewhat easy;Yes;Yes;No;No;No;No;No;No;NA
27/08/2014 12:48;18|-28;23;M;male;Ireland;NA;Yes;Yes;No;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Very difficult;Yes;No;No;No;No;Maybe;No;No;NA
27/08/2014 12:49;18|-28;23;F;Female;United States;NC;No;No;No;NA;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Yes;No;Maybe;Yes;No;NA
27/08/2014 12:53;18|-28;23;M;male;United Kingdom;NA;No;Yes;No;NA;1-5;Yes;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Yes;Don't know;No;NA
27/08/2014 13:15;18|-28;23;M;Male;United States;PA;No;No;No;Never;26-100;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;No;Yes;No;Yes;Yes;No;A strong mind goes a long way. Stay strong. Take some time off to help. Its all in your head. 
27/08/2014 13:39;18|-28;23;M;Male;United States;AL;No;Yes;Yes;Sometimes;26-100;Yes;No;Don't know;No;No;Don't know;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;No;Yes;Yes;No;NA
27/08/2014 13:47;18|-28;23;F;Female;United Kingdom;NA;No;No;Yes;Sometimes;6-25;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;Maybe;Yes;No;NA
27/08/2014 13:56;18|-28;23;F;female;United States;MN;No;Yes;Yes;Never;100-500;No;No;Yes;No;Don't know;Don't know;Yes;Don't know;No;No;Some of them;Yes;Maybe;Maybe;Yes;No;NA
27/08/2014 14:03;18|-28;23;M;Male;United States;PA;No;Yes;No;Sometimes;100-500;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;No;No;NA
27/08/2014 14:19;18|-28;23;F;Female;United States;NY;No;No;Yes;Sometimes;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Don't know;Don't know;No;No;Some of them;Some of them;No;No;Yes;No;NA
27/08/2014 14:45;18|-28;23;M;Male;United States;AL;No;Yes;Yes;Sometimes;100-500;No;No;Don't know;No;No;No;Don't know;Don't know;No;No;Yes;Yes;Maybe;Yes;Don't know;No;YOU MAY WANT TO THROW OUT MY ENTRY.I answered all of these questions with the assumption that Attention Deficit Disorder is considered a mental illness and with ADD in mind.
27/08/2014 15:26;18|-28;23;M;male;United States;CA;No;No;No;NA;More than 1000;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;No;No;Some of them;Yes;No;Maybe;No;No;NA
27/08/2014 15:31;18|-28;23;M;Male;India;NA;No;No;No;NA;6-25;No;Yes;No;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;No;No;NA
27/08/2014 15:35;18|-28;23;M;Male;United States;IN;No;No;No;NA;More than 1000;No;No;Yes;No;No;No;Don't know;Don't know;No;No;Yes;No;No;Yes;Don't know;No;NA
27/08/2014 15:43;18|-28;23;F;female;United States;MA;No;No;Yes;Sometimes;26-100;No;Yes;Yes;Yes;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;Don't know;No;NA
27/08/2014 15:46;18|-28;23;M;M;Canada;NA;No;Yes;Yes;Sometimes;6-25;No;Yes;Yes;Yes;No;No;Yes;Very easy;No;No;Yes;Yes;No;No;Yes;No;NA
27/08/2014 16:16;18|-28;23;M;male;Germany;NA;Yes;Yes;Yes;Often;26-100;Yes;Yes;Don't know;No;Don't know;Don't know;Don't know;Don't know;No;Maybe;Yes;Yes;Maybe;Yes;Don't know;No;you rock for doing this!
27/08/2014 16:17;18|-28;23;M;Male;United States;VA;No;No;No;Never;26-100;No;No;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Yes;Yes;Maybe;Yes;Yes;No;NA
27/08/2014 16:27;18|-28;23;F;Female;United States;NY;No;Yes;Yes;Often;More than 1000;No;Yes;Yes;Not sure;Don't know;No;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;No;Yes;Yes;NA
27/08/2014 17:14;18|-28;23;F;F;United States;TX;No;No;No;NA;More than 1000;No;No;Don't know;Not sure;Don't know;Don't know;Yes;Don't know;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No;NA
27/08/2014 17:46;18|-28;23;M;Male;Sweden;NA;No;No;No;Rarely;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No;NA
27/08/2014 18:14;18|-28;23;F;female;United Kingdom;NA;No;No;No;NA;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Very easy;Maybe;No;No;Some of them;No;Yes;Yes;No;NA
27/08/2014 20:13;18|-28;23;M;Male;United States;CA;No;Yes;Yes;Rarely;1-5;No;Yes;No;Yes;No;No;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;Yes;No;NA
27/08/2014 20:53;18|-28;23;M;Male;United States;RI;No;No;No;NA;26-100;No;Yes;Don't know;No;Don't know;No;Don't know;Don't know;No;No;Yes;Yes;No;Maybe;Don't know;No;NA
27/08/2014 22:13;18|-28;23;M;Male;United States;PA;No;No;No;Rarely;100-500;No;Yes;Yes;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Some of them;No;No;Yes;No;NA
28/08/2014 01:38;18|-28;23;F;female;United States;CA;No;Yes;Yes;Sometimes;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Somewhat easy;Yes;Maybe;No;No;No;No;Don't know;No;NA
28/08/2014 07:03;18|-28;23;M;Male;United States;NC;No;Yes;No;Sometimes;6-25;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;Maybe;No;No;No;No;Maybe;Don't know;No;NA
28/08/2014 09:18;18|-28;23;F;Female;India;NA;No;Yes;Yes;Sometimes;More than 1000;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;Yes;Maybe;No;No;No;No;Don't know;No;NA
28/08/2014 09:54;18|-28;23;M;male;Canada;NA;No;No;Yes;Sometimes;6-25;No;Yes;Yes;No;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No;NA
28/08/2014 09:59;18|-28;23;M;Male;United States;OH;No;No;Yes;Often;26-100;No;No;Yes;Yes;Yes;No;Yes;Somewhat easy;No;No;Some of them;Yes;No;Maybe;Yes;No;NA
28/08/2014 13:39;18|-28;23;M;Male;United States;CA;No;Yes;Yes;Sometimes;6-25;No;Yes;No;Yes;No;No;Don't know;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No;NA
28/08/2014 16:58;18|-28;23;M;M;United States;KY;No;Yes;No;NA;26-100;Yes;Yes;Yes;Yes;No;Don't know;Yes;Don't know;Maybe;No;No;Some of them;No;No;Don't know;No;NA
28/08/2014 17:07;18|-28;23;M;M;United States;IL;No;No;No;Never;100-500;No;No;Don't know;No;Don't know;Don't know;Don't know;Don't know;Maybe;No;Some of them;Some of them;Maybe;Maybe;Don't know;No;NA
28/08/2014 17:20;18|-28;23;F;Female;United Kingdom;NA;No;Yes;No;Never;More than 1000;No;No;No;No;No;Yes;Don't know;Somewhat easy;Yes;Maybe;No;No;No;Maybe;Don't know;No;NA
29/08/2014 09:10;18|-28;23;M;Male;United States;PA;No;Yes;No;Sometimes;26-100;No;Yes;Yes;Not sure;Yes;Yes;Yes;Somewhat easy;No;No;No;No;No;Maybe;Don't know;No;NA
29/08/2014 09:54;18|-28;23;M;Male;Israel;NA;No;No;No;NA;100-500;No;Yes;Don't know;Not sure;No;No;Yes;Very easy;Maybe;No;Some of them;Yes;Maybe;Yes;Don't know;No;NA
29/08/2014 11:33;18|-28;23;F;Female;United States;IL;No;Yes;No;Sometimes;26-100;No;No;No;No;No;No;Don't know;Somewhat difficult;Yes;No;No;Some of them;No;Maybe;No;No;NA
01/09/2014 08:19;18|-28;23;M;Male;Germany;NA;No;Yes;Yes;Sometimes;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Somewhat easy;Maybe;No;No;No;No;No;Don't know;No;NA
01/09/2014 12:00;18|-28;23;M;Male;Israel;NA;No;No;No;Never;More than 1000;No;No;No;Yes;Yes;Yes;Yes;Somewhat difficult;No;No;Yes;Yes;No;Yes;Yes;No;NA
13/09/2014 07:52;18|-28;23;M;Male;United Kingdom;NA;No;No;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Very difficult;Maybe;No;Yes;Yes;Yes;Yes;No;Yes;I burnt out this year. I worked too much had too much pressure on myself from being the sole developer on a delayed project that seemed to grow in size with each week it was delayed by and worried about money a lot.I became depressed and anxious and had trouble eating sleeping and generally being myself. As my depression worsened I was regularly late for work couldn't perform as well as I should and became irritable with my colleagues.My employers response after a while was to send me private messages complaining about my lateness which only worsened the situation. I was prescribed 3 weeks off work by my doctor which my employer agreed to only to come back after to find I had been on 'statutory pay' which was roughly half of what I was expecting and was not enough to cover my rent bills AND food. This made me worse and sent me into another depression until I eventually admitted defeat gave up working and left the company. It took me months to recover and I'm now left (over 6 months after this all started) recovering from the fallout I created leaving employment with hardly any money to my name.I had previously been told by my employer that I was too young to burn out and (stupidly) trusted them. I did not feel comfortable discussing my problems with my employer because each time I was met with an attitude that I had to get myself together and ultimately given the amount of employees before me who had left the company by being fired after an altercation with the employer left me with no option but to hide it from them so I too wouldn't be fired.
21/02/2015 08:21;18|-28;23;M;Male;United States;TX;No;No;Yes;Sometimes;1-5;No;Yes;No;Yes;No;No;No;Very easy;Maybe;Maybe;Some of them;Yes;No;No;No;No;NA
21/02/2015 11:55;18|-28;23;M;Male ;United Kingdom;NA;No;No;No;Never;26-100;No;Yes;Don't know;No;No;No;Don't know;Somewhat easy;Maybe;No;Some of them;Some of them;No;Maybe;Yes;Yes;Although my employer does everything they can to accommodate employees with mental health problems when those individuals cannot carry out any work assigned to them (even over the course of months) they appear to have no alternative but to terminate their employment. However I believe this would be the same for a physical health problem. 
21/02/2015 15:28;18|-28;23;F;female;Ireland;NA;No;No;Yes;Rarely;26-100;No;Yes;No;Yes;Yes;No;Don't know;Don't know;No;No;Yes;Some of them;No;Maybe;Don't know;No;NA
24/02/2015 08:54;18|-28;23;F;Female;United Kingdom;NA;No;Yes;Yes;Sometimes;6-25;No;Yes;No;Yes;No;Yes;Yes;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No;NA
24/02/2015 09:13;18|-28;23;M;Male;United Kingdom;NA;No;No;Yes;Rarely;6-25;No;Yes;No;Yes;No;No;Don't know;Don't know;No;No;Yes;Yes;No;Maybe;Don't know;No;NA
24/02/2015 09:18;18|-28;23;M;Male;Canada;NA;No;No;Yes;Often;26-100;No;Yes;Yes;Yes;Yes;Don't know;Don't know;Don't know;Maybe;No;Yes;Some of them;No;No;Don't know;No;NA
27/08/2014 11:42;18|-28;24;M;Male;United Kingdom;NA;No;No;Yes;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;No;No;Yes;No;Yes;NA
27/08/2014 11:47;18|-28;24;M;Male;United States;NY;No;Yes;Yes;Sometimes;26-100;Yes;Yes;Don't know;No;No;No;Don't know;Don't know;No;Maybe;Some of them;Yes;Yes;Yes;No;No;NA
27/08/2014 12:16;18|-28;24;M;Male;United States;MO;No;Yes;No;Rarely;26-100;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Somewhat easy;Maybe;Maybe;Some of them;No;No;Maybe;Don't know;No;NA
27/08/2014 12:36;18|-28;24;M;Male;Canada;NA;No;No;Yes;Never;26-100;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Yes;Don't know;No;NA
27/08/2014 12:39;18|-28;24;M;M;United Kingdom;NA;No;No;No;Never;6-25;No;Yes;No;No;No;No;Yes;Don't know;Maybe;Maybe;No;Some of them;No;No;Don't know;No;NA
27/08/2014 12:48;18|-28;24;M;Male;United Kingdom;NA;No;No;No;Rarely;100-500;No;Yes;Don't know;Not sure;Yes;Don't know;Don't know;Very easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;Don't know;No;NA
27/08/2014 12:52;18|-28;24;M;Male;United Kingdom;NA;No;No;No;Sometimes;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Somewhat easy;Maybe;No;Some of them;Yes;Maybe;Yes;Yes;No;NA
