Timestamp;Age_;Age;Gender_;Gender;Continent_;Country;state;self_employed;family_history;treatment;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence
29/08/2014 09:13;18|-28;19;M;Male;Europe;United Kingdom;NA;No;No;No;NA;6-25;No;Yes;Yes;No;No;Yes;Don t know;Very easy;No;No;Yes;Yes;No;No;Yes;No
29/08/2014 10:05;18|-28;19;M;M;North America;Canada;NA;No;No;No;Never;26-100;Yes;Yes;Don t know;No;No;No;Don t know;Somewhat easy;No;No;Some of them;Some of them;No;Maybe;No;No
29/08/2014 10:30;18|-28;19;M;Male;North America;United States;IN;No;No;No;Sometimes;1-5;No;Yes;Don t know;Not sure;No;No;Don t know;Don t know;No;No;Some of them;Yes;Maybe;Maybe;Don t know;No
27/08/2014 15:40;18|-28;20;M;Male;Australia;Australia;NA;No;No;No;NA;100-500;Yes;Yes;Don t know;Not sure;Don t know;Don t know;Yes;Very easy;No;No;Some of them;Yes;No;No;Don t know;No
28/08/2014 05:05;18|-28;20;F;F;Europe;Switzerland;NA;No;No;No;Rarely;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Somewhat easy;No;No;Some of them;Some of them;No;Maybe;Yes;No
28/08/2014 15:32;18|-28;20;M;Male;North America;United States;WA;No;No;No;Never;26-100;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
29/08/2014 09:15;18|-28;20;M;Male;India;India;NA;No;No;Yes;Sometimes;26-100;No;Yes;Don t know;No;No;No;Don t know;Don t know;Yes;No;No;No;No;Maybe;Yes;No
30/08/2014 20:46;18|-28;20;F;female;North America;United States;NY;No;No;Yes;Sometimes;26-100;Yes;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;Some of them;Some of them;Maybe;Maybe;Don t know;No
14/09/2014 09:04;18|-28;20;M;Male;Eurasia;Georgia;NA;No;No;No;Rarely;26-100;No;No;No;No;No;No;Don t know;Very difficult;Yes;Yes;Some of them;No;No;Maybe;No;No
27/08/2014 12:31;18|-28;21;M;Male;Europe;United Kingdom;NA;Yes;No;No;Often;1-5;Yes;No;No;Yes;No;No;Yes;Very difficult;Yes;No;Some of them;Yes;No;Maybe;No;No
27/08/2014 13:03;18|-28;21;M;Male;North America;Canada;NA;No;No;Yes;Sometimes;6-25;Yes;Yes;No;Yes;No;No;Don t know;Somewhat difficult;No;No;Some of them;Some of them;Maybe;Maybe;Yes;No
27/08/2014 13:35;18|-28;21;M;Male;North America;United States;KY;No;No;Yes;Often;6-25;No;No;Don t know;No;No;Don t know;Don t know;Don t know;Maybe;No;No;No;No;Maybe;Don t know;No
27/08/2014 15:14;18|-28;21;M;Male;North America;United States;IN;No;Yes;Yes;Rarely;100-500;No;Yes;Yes;No;No;Don t know;Yes;Don t know;No;No;Yes;Yes;Maybe;Maybe;Don t know;No
27/08/2014 15:15;18|-28;21;M;Male;Europe;United Kingdom;NA;No;No;Yes;Sometimes;6-25;No;No;Don t know;Not sure;No;No;No;Very easy;Yes;No;Some of them;No;No;Maybe;No;No
27/08/2014 15:22;18|-28;21;F;F;North America;United States;CA;No;Yes;Yes;Rarely;26-100;No;Yes;Don t know;Not sure;Don t know;No;Don t know;Somewhat easy;Yes;No;Some of them;No;No;Yes;Don t know;No
27/08/2014 15:29;18|-28;21;M;male;North America;United States;MA;No;Yes;No;Never;More than 1000;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;Some of them;Some of them;No;Maybe;Don t know;Yes
27/08/2014 15:34;18|-28;21;M;M;North America;United States;CA;No;No;No;Sometimes;6-25;No;No;Don t know;Not sure;No;Yes;Yes;Don t know;No;No;Some of them;Some of them;Maybe;Maybe;Yes;No
27/08/2014 17:47;18|-28;21;M;Male;North America;Canada;NA;No;No;No;Never;26-100;No;Yes;Don t know;Not sure;Don t know;No;Don t know;Don t know;Yes;Maybe;No;No;No;Maybe;Don t know;No
27/08/2014 18:22;18|-28;21;M;M;North America;United States;CA;No;Yes;No;NA;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Don t know;No;No;Some of them;Yes;No;Maybe;Yes;No
27/08/2014 18:56;18|-28;21;Outro;Agender;Europe;United Kingdom;NA;No;No;Yes;Sometimes;26-100;No;Yes;No;Yes;Yes;No;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;No;No;Yes;No
28/08/2014 09:16;18|-28;21;F;Female;Europe;United Kingdom;NA;No;No;No;NA;6-25;No;Yes;No;No;No;No;Don t know;Don t know;Yes;Maybe;Some of them;No;No;No;Don t know;No
28/08/2014 10:20;18|-28;21;M;male;Europe;Germany;NA;No;No;No;Rarely;6-25;Yes;Yes;Don t know;No;No;No;Don t know;Very easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;No;No
28/08/2014 11:34;18|-28;21;M;Male;North America;United States;IL;No;No;Yes;Often;More than 1000;No;No;No;Yes;No;No;No;Don t know;Yes;No;Some of them;Some of them;No;Yes;No;Yes
28/08/2014 16:58;18|-28;21;M;Male;Europe;United Kingdom;NA;No;Yes;No;Never;6-25;No;No;No;No;No;No;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;No;Maybe;Don t know;No
01/09/2014 08:23;18|-28;21;M;Male;Europe;United Kingdom;NA;No;No;Yes;Sometimes;More than 1000;No;No;Don t know;No;No;Don t know;Don t know;Don t know;Maybe;No;Some of them;No;No;No;Don t know;No
27/08/2014 11:44;18|-28;22;M;M;North America;United States;TX;No;Yes;Yes;Often;6-25;No;Yes;No;Yes;No;No;Yes;Very difficult;Maybe;No;No;No;No;Maybe;Don t know;No
27/08/2014 12:29;18|-28;22;M;Male;North America;United States;NY;No;No;Yes;Sometimes;500-1000;No;Yes;Yes;Yes;No;Don t know;Yes;Don t know;Yes;No;No;No;No;Yes;No;No
27/08/2014 12:37;18|-28;22;M;m;Europe;Austria;NA;No;No;No;NA;6-25;Yes;Yes;Don t know;No;Don t know;No;Don t know;Somewhat easy;No;No;Some of them;Some of them;No;No;Don t know;No
27/08/2014 12:49;18|-28;22;M;M;India;India;NA;No;No;Yes;Never;More than 1000;No;Yes;Don t know;Not sure;No;No;Don t know;Very difficult;Yes;Maybe;No;No;Maybe;Maybe;No;No
27/08/2014 13:31;18|-28;22;M;Male;Europe;Sweden;NA;No;No;No;NA;6-25;No;Yes;Don t know;No;No;No;Don t know;Don t know;No;No;Some of them;Yes;Maybe;Maybe;No;No
27/08/2014 14:03;18|-28;22;M;Male;Australia;Australia;NA;Yes;Yes;Yes;Sometimes;6-25;Yes;Yes;Don t know;Not sure;Yes;Yes;Don t know;Somewhat easy;Maybe;No;Some of them;Yes;No;Yes;No;Yes
27/08/2014 14:27;18|-28;22;F;Female;North America;United States;NY;No;Yes;Yes;Often;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Somewhat easy;Maybe;No;No;Some of them;No;No;Yes;Yes
27/08/2014 14:47;18|-28;22;M;Male;North America;United States;CA;No;No;No;Sometimes;More than 1000;No;Yes;Don t know;No;Don t know;Don t know;Don t know;Don t know;Maybe;No;Some of them;No;No;Maybe;Don t know;No
27/08/2014 15:15;18|-28;22;F;F;North America;United States;WA;No;No;No;NA;More than 1000;No;Yes;Yes;No;Yes;Yes;Yes;Somewhat easy;No;No;No;Some of them;No;No;Yes;No
27/08/2014 15:28;18|-28;22;M;Male;South America;Brazil;NA;Yes;No;No;Never;6-25;Yes;Yes;Don t know;No;No;No;Don t know;Somewhat easy;No;No;Yes;Yes;Maybe;No;Don t know;No
27/08/2014 16:42;18|-28;22;M;Male;North America;United States;CA;No;No;No;NA;More than 1000;No;Yes;Yes;Not sure;Yes;Don t know;Yes;Don t know;No;No;Some of them;Yes;No;Maybe;Yes;No
27/08/2014 17:56;18|-28;22;F;Female;North America;United States;CA;No;Yes;Yes;Sometimes;500-1000;No;Yes;Yes;Yes;No;Don t know;Don t know;Don t know;No;No;Some of them;Some of them;No;No;No;Yes
27/08/2014 19:13;18|-28;22;M;Male;Europe;Netherlands;NA;No;Yes;Yes;Sometimes;6-25;Yes;Yes;No;Not sure;No;Don t know;Don t know;Somewhat easy;No;No;Some of them;Yes;Maybe;Yes;Yes;No
28/08/2014 01:04;18|-28;22;M;Male;Europe;United Kingdom;NA;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Yes;No;No;Yes;Very easy;No;No;Some of them;Yes;Maybe;Yes;Yes;No
28/08/2014 01:19;18|-28;22;M;M;Europe;Netherlands;NA;Yes;No;No;Never;1-5;No;Yes;Don t know;Not sure;No;No;Don t know;Don t know;No;Maybe;Some of them;Yes;Maybe;Yes;No;Yes
28/08/2014 04:02;18|-28;22;F;Female;Europe;Netherlands;NA;No;No;No;Often;6-25;No;Yes;No;No;No;No;Don t know;Don t know;No;No;No;Some of them;No;Yes;Don t know;No
28/08/2014 06:11;18|-28;22;M;male;India;India;NA;Yes;No;No;NA;1-5;Yes;Yes;Don t know;No;Don t know;Don t know;Don t know;Very easy;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Yes;Yes
28/08/2014 08:23;18|-28;22;M;Male;India;India;NA;No;No;No;NA;26-100;No;Yes;No;No;No;No;Don t know;Don t know;Maybe;Maybe;Some of them;Yes;Maybe;Maybe;Don t know;No
28/08/2014 13:11;18|-28;22;F;Female;North America;United States;WA;No;Yes;Yes;Sometimes;More than 1000;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Very difficult;Yes;Maybe;Some of them;Some of them;No;Maybe;No;Yes
28/08/2014 19:28;18|-28;22;F;F;North America;United States;CA;No;Yes;Yes;Often;More than 1000;No;Yes;Don t know;Not sure;No;Don t know;Don t know;Don t know;Yes;Yes;No;No;No;No;Don t know;No
06/05/2015 10:14;18|-28;22;M;Male;Australia;Australia;NA;No;Yes;Yes;Often;100-500;No;No;Yes;Yes;Yes;Yes;Yes;Don t know;Maybe;Maybe;No;Yes;No;Maybe;Don t know;Yes
27/08/2014 11:32;18|-28;23;M;Male;North America;Canada;NA;NA;No;No;Never;26-100;No;Yes;Don t know;No;Don t know;Don t know;Don t know;Don t know;No;No;Yes;Yes;Maybe;Maybe;Yes;No
27/08/2014 11:34;18|-28;23;M;Male;Europe;United Kingdom;NA;NA;No;Yes;Sometimes;26-100;Yes;Yes;Don t know;No;Don t know;Don t know;Don t know;Very easy;Maybe;No;Some of them;No;Maybe;Maybe;No;No
27/08/2014 11:51;18|-28;23;F;Female;Australia;Australia;NA;No;Yes;Yes;Often;1-5;Yes;Yes;No;Not sure;No;No;Don t know;Very easy;No;No;Some of them;Yes;No;Maybe;Yes;No
27/08/2014 11:54;18|-28;23;F;Trans-female;North America;United States;MA;No;No;No;Rarely;More than 1000;No;Yes;Yes;Yes;No;No;Yes;Somewhat difficult;Maybe;No;Yes;Yes;No;No;No;No
27/08/2014 12:02;18|-28;23;M;Male;Europe;United Kingdom;NA;No;No;No;Never;26-100;No;Yes;Yes;Not sure;Yes;Don t know;Don t know;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
27/08/2014 12:39;18|-28;23;M;Male;North America;United States;WV;No;No;No;Sometimes;6-25;No;No;No;No;No;No;No;Somewhat easy;Yes;Yes;No;No;No;No;No;No
27/08/2014 12:48;18|-28;23;M;male;Europe;Ireland;NA;Yes;Yes;No;Sometimes;1-5;No;Yes;No;No;No;No;Don t know;Very difficult;Yes;No;No;No;No;Maybe;No;No
27/08/2014 12:49;18|-28;23;F;Female;North America;United States;NC;No;No;No;NA;6-25;No;Yes;Don t know;No;No;Don t know;Don t know;Don t know;Maybe;Maybe;Some of them;Yes;No;Maybe;Yes;No
27/08/2014 12:53;18|-28;23;M;male;Europe;United Kingdom;NA;No;Yes;No;NA;1-5;Yes;Yes;Don t know;No;No;No;Don t know;Don t know;No;No;Some of them;Yes;Maybe;Yes;Don t know;No
27/08/2014 13:15;18|-28;23;M;Male;North America;United States;PA;No;No;No;Never;26-100;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;No;Yes;No;Yes;Yes;No
27/08/2014 13:39;18|-28;23;M;Male;North America;United States;AL;No;Yes;Yes;Sometimes;26-100;Yes;No;Don t know;No;No;Don t know;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;No;Yes;Yes;No
27/08/2014 13:47;18|-28;23;F;Female;Europe;United Kingdom;NA;No;No;Yes;Sometimes;6-25;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;Maybe;Maybe;Some of them;Some of them;No;Maybe;Yes;No
27/08/2014 13:56;18|-28;23;F;female;North America;United States;MN;No;Yes;Yes;Never;100-500;No;No;Yes;No;Don t know;Don t know;Yes;Don t know;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
27/08/2014 14:03;18|-28;23;M;Male;North America;United States;PA;No;Yes;No;Sometimes;100-500;No;Yes;Don t know;No;No;Don t know;Don t know;Don t know;Maybe;No;Some of them;No;No;Maybe;No;No
27/08/2014 14:19;18|-28;23;F;Female;North America;United States;NY;No;No;Yes;Sometimes;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Don t know;Don t know;No;No;Some of them;Some of them;No;No;Yes;No
27/08/2014 14:45;18|-28;23;M;Male;North America;United States;AL;No;Yes;Yes;Sometimes;100-500;No;No;Don t know;No;No;No;Don t know;Don t know;No;No;Yes;Yes;Maybe;Yes;Don t know;No
27/08/2014 15:26;18|-28;23;M;male;North America;United States;CA;No;No;No;NA;More than 1000;No;Yes;Don t know;No;No;Don t know;Don t know;Don t know;No;No;Some of them;Yes;No;Maybe;No;No
27/08/2014 15:31;18|-28;23;M;Male;India;India;NA;No;No;No;NA;6-25;No;Yes;No;No;No;No;Don t know;Don t know;No;No;Some of them;Yes;Maybe;Maybe;No;No
27/08/2014 15:35;18|-28;23;M;Male;North America;United States;IN;No;No;No;NA;More than 1000;No;No;Yes;No;No;No;Don t know;Don t know;No;No;Yes;No;No;Yes;Don t know;No
27/08/2014 15:43;18|-28;23;F;female;North America;United States;MA;No;No;Yes;Sometimes;26-100;No;Yes;Yes;Yes;No;Don t know;Don t know;Don t know;Maybe;No;Some of them;No;No;Maybe;Don t know;No
27/08/2014 15:46;18|-28;23;M;M;North America;Canada;NA;No;Yes;Yes;Sometimes;6-25;No;Yes;Yes;Yes;No;No;Yes;Very easy;No;No;Yes;Yes;No;No;Yes;No
27/08/2014 16:16;18|-28;23;M;male;Europe;Germany;NA;Yes;Yes;Yes;Often;26-100;Yes;Yes;Don t know;No;Don t know;Don t know;Don t know;Don t know;No;Maybe;Yes;Yes;Maybe;Yes;Don t know;No
27/08/2014 16:17;18|-28;23;M;Male;North America;United States;VA;No;No;No;Never;26-100;No;No;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;Yes;Yes;Maybe;Yes;Yes;No
27/08/2014 16:27;18|-28;23;F;Female;North America;United States;NY;No;Yes;Yes;Often;More than 1000;No;Yes;Yes;Not sure;Don t know;No;Don t know;Don t know;Maybe;No;Some of them;Some of them;No;No;Yes;Yes
27/08/2014 17:14;18|-28;23;F;F;North America;United States;TX;No;No;No;NA;More than 1000;No;No;Don t know;Not sure;Don t know;Don t know;Yes;Don t know;Maybe;Maybe;Some of them;Some of them;No;No;Don t know;No
27/08/2014 17:46;18|-28;23;M;Male;Europe;Sweden;NA;No;No;No;Rarely;6-25;No;Yes;Don t know;No;No;Don t know;Don t know;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
27/08/2014 18:14;18|-28;23;F;female;Europe;United Kingdom;NA;No;No;No;NA;6-25;No;Yes;Don t know;Not sure;No;No;Don t know;Very easy;Maybe;No;No;Some of them;No;Yes;Yes;No
27/08/2014 20:13;18|-28;23;M;Male;North America;United States;CA;No;Yes;Yes;Rarely;1-5;No;Yes;No;Yes;No;No;Don t know;Don t know;Maybe;No;Some of them;Yes;No;No;Yes;No
27/08/2014 20:53;18|-28;23;M;Male;North America;United States;RI;No;No;No;NA;26-100;No;Yes;Don t know;No;Don t know;No;Don t know;Don t know;No;No;Yes;Yes;No;Maybe;Don t know;No
27/08/2014 22:13;18|-28;23;M;Male;North America;United States;PA;No;No;No;Rarely;100-500;No;Yes;Yes;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;Some of them;Some of them;No;No;Yes;No
28/08/2014 01:38;18|-28;23;F;female;North America;United States;CA;No;Yes;Yes;Sometimes;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Somewhat easy;Yes;Maybe;No;No;No;No;Don t know;No
28/08/2014 07:03;18|-28;23;M;Male;North America;United States;NC;No;Yes;No;Sometimes;6-25;No;Yes;Don t know;Not sure;No;Don t know;Don t know;Don t know;Maybe;No;No;No;No;Maybe;Don t know;No
28/08/2014 09:18;18|-28;23;F;Female;India;India;NA;No;Yes;Yes;Sometimes;More than 1000;No;Yes;Don t know;Not sure;No;Don t know;Don t know;Don t know;Yes;Maybe;No;No;No;No;Don t know;No
28/08/2014 09:54;18|-28;23;M;male;North America;Canada;NA;No;No;Yes;Sometimes;6-25;No;Yes;Yes;No;No;No;Don t know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;No;Don t know;No
28/08/2014 09:59;18|-28;23;M;Male;North America;United States;OH;No;No;Yes;Often;26-100;No;No;Yes;Yes;Yes;No;Yes;Somewhat easy;No;No;Some of them;Yes;No;Maybe;Yes;No
28/08/2014 13:39;18|-28;23;M;Male;North America;United States;CA;No;Yes;Yes;Sometimes;6-25;No;Yes;No;Yes;No;No;Don t know;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
28/08/2014 16:58;18|-28;23;M;M;North America;United States;KY;No;Yes;No;NA;26-100;Yes;Yes;Yes;Yes;No;Don t know;Yes;Don t know;Maybe;No;No;Some of them;No;No;Don t know;No
28/08/2014 17:07;18|-28;23;M;M;North America;United States;IL;No;No;No;Never;100-500;No;No;Don t know;No;Don t know;Don t know;Don t know;Don t know;Maybe;No;Some of them;Some of them;Maybe;Maybe;Don t know;No
28/08/2014 17:20;18|-28;23;F;Female;Europe;United Kingdom;NA;No;Yes;No;Never;More than 1000;No;No;No;No;No;Yes;Don t know;Somewhat easy;Yes;Maybe;No;No;No;Maybe;Don t know;No
29/08/2014 09:10;18|-28;23;M;Male;North America;United States;PA;No;Yes;No;Sometimes;26-100;No;Yes;Yes;Not sure;Yes;Yes;Yes;Somewhat easy;No;No;No;No;No;Maybe;Don t know;No
29/08/2014 09:54;18|-28;23;M;Male;Asia;Israel;NA;No;No;No;NA;100-500;No;Yes;Don t know;Not sure;No;No;Yes;Very easy;Maybe;No;Some of them;Yes;Maybe;Yes;Don t know;No
29/08/2014 11:33;18|-28;23;F;Female;North America;United States;IL;No;Yes;No;Sometimes;26-100;No;No;No;No;No;No;Don t know;Somewhat difficult;Yes;No;No;Some of them;No;Maybe;No;No
01/09/2014 08:19;18|-28;23;M;Male;Europe;Germany;NA;No;Yes;Yes;Sometimes;6-25;No;Yes;Don t know;Not sure;No;No;Don t know;Somewhat easy;Maybe;No;No;No;No;No;Don t know;No
01/09/2014 12:00;18|-28;23;M;Male;Asia;Israel;NA;No;No;No;Never;More than 1000;No;No;No;Yes;Yes;Yes;Yes;Somewhat difficult;No;No;Yes;Yes;No;Yes;Yes;No
13/09/2014 07:52;18|-28;23;M;Male;Europe;United Kingdom;NA;No;No;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don t know;Very difficult;Maybe;No;Yes;Yes;Yes;Yes;No;Yes
21/02/2015 08:21;18|-28;23;M;Male;North America;United States;TX;No;No;Yes;Sometimes;1-5;No;Yes;No;Yes;No;No;No;Very easy;Maybe;Maybe;Some of them;Yes;No;No;No;No
21/02/2015 11:55;18|-28;23;M;Male ;Europe;United Kingdom;NA;No;No;No;Never;26-100;No;Yes;Don t know;No;No;No;Don t know;Somewhat easy;Maybe;No;Some of them;Some of them;No;Maybe;Yes;Yes
21/02/2015 15:28;18|-28;23;F;female;Europe;Ireland;NA;No;No;Yes;Rarely;26-100;No;Yes;No;Yes;Yes;No;Don t know;Don t know;No;No;Yes;Some of them;No;Maybe;Don t know;No
24/02/2015 08:54;18|-28;23;F;Female;Europe;United Kingdom;NA;No;Yes;Yes;Sometimes;6-25;No;Yes;No;Yes;No;Yes;Yes;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
24/02/2015 09:13;18|-28;23;M;Male;Europe;United Kingdom;NA;No;No;Yes;Rarely;6-25;No;Yes;No;Yes;No;No;Don t know;Don t know;No;No;Yes;Yes;No;Maybe;Don t know;No
24/02/2015 09:18;18|-28;23;M;Male;North America;Canada;NA;No;No;Yes;Often;26-100;No;Yes;Yes;Yes;Yes;Don t know;Don t know;Don t know;Maybe;No;Yes;Some of them;No;No;Don t know;No
27/08/2014 11:42;18|-28;24;M;Male;Europe;United Kingdom;NA;No;No;Yes;Sometimes;6-25;No;Yes;No;No;No;No;Don t know;Don t know;Maybe;Maybe;Some of them;No;No;Yes;No;Yes
27/08/2014 11:47;18|-28;24;M;Male;North America;United States;NY;No;Yes;Yes;Sometimes;26-100;Yes;Yes;Don t know;No;No;No;Don t know;Don t know;No;Maybe;Some of them;Yes;Yes;Yes;No;No
27/08/2014 12:16;18|-28;24;M;Male;North America;United States;MO;No;Yes;No;Rarely;26-100;No;Yes;Don t know;Not sure;No;Don t know;Don t know;Somewhat easy;Maybe;Maybe;Some of them;No;No;Maybe;Don t know;No
27/08/2014 12:36;18|-28;24;M;Male;North America;Canada;NA;No;No;Yes;Never;26-100;No;Yes;Don t know;No;No;No;Don t know;Don t know;No;No;Some of them;Yes;Maybe;Yes;Don t know;No
27/08/2014 12:39;18|-28;24;M;M;Europe;United Kingdom;NA;No;No;No;Never;6-25;No;Yes;No;No;No;No;Yes;Don t know;Maybe;Maybe;No;Some of them;No;No;Don t know;No
27/08/2014 12:48;18|-28;24;M;Male;Europe;United Kingdom;NA;No;No;No;Rarely;100-500;No;Yes;Don t know;Not sure;Yes;Don t know;Don t know;Very easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;Don t know;No
27/08/2014 12:52;18|-28;24;M;Male;Europe;United Kingdom;NA;No;No;No;Sometimes;6-25;No;Yes;Don t know;No;No;Don t know;Don t know;Somewhat easy;Maybe;No;Some of them;Yes;Maybe;Yes;Yes;No
27/08/2014 13:04;18|-28;24;M;male;North America;United States;KS;No;No;No;Never;26-100;No;Yes;Don t know;Not sure;No;Don t know;Don t know;Don t know;No;No;Some of them;Yes;No;No;Don t know;No
27/08/2014 13:18;18|-28;24;M;M;North America;United States;OR;No;No;No;NA;1-5;No;Yes;Don t know;No;Don t know;No;Yes;Very easy;No;No;Yes;Yes;Maybe;Yes;Yes;No
27/08/2014 13:21;18|-28;24;M;Male;North America;United States;PA;No;No;No;Never;6-25;No;Yes;Yes;Not sure;No;Don t know;Don t know;Very easy;Maybe;No;Some of them;No;Maybe;Maybe;Yes;No
27/08/2014 13:44;18|-28;24;M;Male;North America;United States;VA;No;No;No;Sometimes;6-25;No;Yes;Don t know;No;Don t know;Don t know;Don t know;Don t know;No;No;Yes;Yes;Maybe;Maybe;Don t know;No
27/08/2014 13:48;18|-28;24;M;Male;Europe;United Kingdom;NA;No;No;No;NA;1-5;No;Yes;No;No;No;No;Don t know;Don t know;Yes;No;Some of them;Some of them;No;Yes;No;No
27/08/2014 14:16;18|-28;24;F;Female;North America;United States;CA;No;No;No;NA;500-1000;No;Yes;Don t know;Not sure;No;Don t know;Don t know;Don t know;Maybe;Maybe;Some of them;No;No;Maybe;No;No
27/08/2014 14:28;18|-28;24;F;female;North America;United States;CA;No;Yes;Yes;Sometimes;More than 1000;No;Yes;Yes;Yes;No;Yes;Yes;Don t know;Maybe;No;Some of them;No;No;Maybe;Don t know;No
27/08/2014 14:32;18|-28;24;M;Male;North America;United States;WA;No;No;No;NA;26-100;No;Yes;Yes;Not sure;Yes;Yes;Yes;Very easy;No;No;Some of them;Some of them;No;Maybe;Yes;No
27/08/2014 14:38;18|-28;24;M;Male;North America;United States;MA;No;No;No;NA;More than 1000;No;Yes;Yes;Yes;Don t know;Don t know;Yes;Don t know;Yes;No;No;No;No;Maybe;Don t know;No
27/08/2014 15:24;18|-28;24;F;female;North America;United States;TX;No;Yes;No;NA;500-1000;No;No;No;No;No;No;No;Very difficult;Yes;Maybe;No;No;No;Maybe;No;Yes
